,
,
data_traditional.tif,
Emission wavelength,500 nm
NA,0.95
Refraction index,1.33
Voxel size,220 nm x 220 nm x 220 nm
Bead diameter,100 nm
,
Frame size,12 pixels
Threshold,197
,
Theoretical FWHM in XY,270 nm
Theoratical FWHM in Z,1.3 um
,
HeatMap Statistics,
FWHM min,422 nm +/- 11 nm
FWHMmin / Theoretical FWHMxy,1.566 +/- 0.04
FWHM max,550 nm +/- 36 nm
FWHMmax / Theoretical FWHMxy,2.041 +/- 0.134
FWHM z,2.08 um +/- 72.03 nm
FWHMz / Theoretical FWHMz,1.605 +/- 0.056
z0,+/- 8.33 um
(z0 - mean(z0)) / FWHMz,+/- 6.421
Asymmetry,0.772 +/- 0.054
Theta,-53.9 deg +/- 49.8 deg
,

Bead Id,x0 (um),y0 (um),z0 (um),FWHM min (um),FWHM max (um),FWHM z (um),z0 - mean(z0) (um),Asymmetry,Theta (degrees),R^2 FWHM min/max,R^2 FWHMz,Fit valid,Centroid brightness,Fitted Brightness(A),Fitted background(B),Image name
41,114.439,67.343,2.352,0.468,0.585,2.765,-35.165,0.8,40.1,0.912,0.959,1,357,269.206,121.377,data_traditional
42,23.941,64.564,0.486,0.759,1.803,1.684,-37.031,0.421,78.347,0.839,0.523,0,222,112.367,114.415,data_traditional
43,-30.69,62.281,2.462,0.391,0.544,2.143,-35.055,0.718,-77.882,0.926,0.97,1,402,357.19,123.408,data_traditional
44,64.058,61.806,2.682,0.411,0.591,2.336,-34.835,0.696,-87.83,0.938,0.978,1,504,383.421,124.244,data_traditional
45,149.713,56.074,0.525,0.451,0.483,2.434,-36.992,0.933,39.83,0.732,0.795,0,193,81.545,114.171,data_traditional
46,27.592,55.912,2.894,0.394,0.561,2.31,-34.624,0.701,-83.177,0.918,0.951,1,437,403.976,125.18,data_traditional
47,-93.984,45.079,2.283,0.471,0.554,2.387,-35.234,0.85,86.954,0.931,0.963,1,353,294.557,119.405,data_traditional
48,-106.721,44.49,18.185,0.377,0.457,1.994,-19.332,0.825,-64.449,0.945,0.93,1,461,354.226,119.201,data_traditional
49,-25.498,34.069,2.584,0.38,0.531,2.146,-34.933,0.716,-74.49,0.949,0.982,1,471,419.808,122.166,data_traditional
50,-42.713,22.075,2.592,0.455,0.496,2.071,-34.925,0.916,83.322,0.955,0.982,1,553,494.639,126.919,data_traditional
51,-68.092,21.89,11.571,0,0,4.284,-25.946,0.0,0,0,0.828,0,219,0,0,data_traditional
52,161.468,2.827,1.513,0.478,0.754,3.711,-36.004,0.634,-15.686,0.769,0.887,0,220,103.805,116.125,data_traditional
53,78.707,-9.073,2.237,0.433,0.584,2.273,-35.28,0.742,-67.171,0.92,0.98,1,408,300.141,122.818,data_traditional
54,38.788,-21.652,3.076,0.518,0.761,2.718,-34.441,0.68,21.512,0.873,0.821,0,437,237.324,119.633,data_traditional
55,135.907,-44.517,1.853,0.463,0.914,3.112,-35.664,0.506,-36.142,0.822,0.916,0,290,114.12,115.419,data_traditional
56,20.598,-52.536,3.769,0.506,1.121,3.477,-33.748,0.451,14.235,0.837,0.915,0,412,306.172,123.299,data_traditional
57,39.472,-66.573,2.354,0.584,0.639,2.471,-35.163,0.915,74.089,0.87,0.966,0,381,244.677,119.39,data_traditional
58,57.051,-69.143,3.856,0.582,1.37,2.228,-33.661,0.425,17.552,0.72,0.839,0,324,127.7,120.405,data_traditional
59,110.953,-72.572,3.421,0.852,1.615,3.973,-34.096,0.528,56.96,0.691,0.812,0,241,89.165,120.262,data_traditional
60,27.367,-74.331,-1.249,0.069,0.148,4.73,-38.766,0.47,87.459,0.028,0.75,0,0,-27.709,128.014,data_traditional
61,29.276,-76.021,0.283,0.653,2.012,2.034,-37.235,0.324,11.756,0.586,0.519,0,276,116.112,123.295,data_traditional
62,54.979,82.866,2.54,0.443,0.58,2.016,-34.978,0.764,88.028,0.917,0.972,1,445,319.356,119.081,data_traditional
63,-14.312,81.678,2.86,0.525,0.873,2.735,-34.657,0.602,-86.962,0.88,0.96,0,317,295.66,119.941,data_traditional
64,114.032,44.483,2.423,0.412,0.47,2.318,-35.095,0.877,73.268,0.938,0.969,1,336,309.179,119.444,data_traditional
65,64.495,43.687,2.91,0.442,0.605,2.329,-34.607,0.73,-89.85,0.911,0.984,1,509,363.035,122.401,data_traditional
66,161.897,20.977,1.245,0.526,0.582,2.745,-36.273,0.904,-44.766,0.778,0.654,0,205,86.355,114.459,data_traditional
