,
,
data_traditional.tif,
Emission wavelength,500 nm
NA,1.15
Refraction index,1.33
Voxel size,220 nm x 220 nm x 220 nm
Bead diameter,100 nm
,
Frame size,10 pixels
Threshold,222
,
Theoretical FWHM in XY,223 nm
Theoratical FWHM in Z,885 nm
,
HeatMap Statistics,
FWHM min,425 nm +/- 17 nm
FWHMmin / Theoretical FWHMxy,1.907 +/- 0.077
FWHM max,582 nm +/- 59 nm
FWHMmax / Theoretical FWHMxy,2.614 +/- 0.263
FWHM z,1.38 um +/- 114.79 nm
FWHMz / Theoretical FWHMz,1.564 +/- 0.13
z0,+/- 8.19 um
(z0 - mean(z0)) / FWHMz,+/- 9.256
Asymmetry,0.743 +/- 0.066
Theta,13.9 deg +/- 53.4 deg
,

Bead Id,x0 (um),y0 (um),z0 (um),FWHM min (um),FWHM max (um),FWHM z (um),z0 - mean(z0) (um),Asymmetry,Theta (degrees),R^2 FWHM min/max,R^2 FWHMz,Fit valid,Centroid brightness,Fitted Brightness(A),Fitted background(B),Image name
42,51.022,74.804,2.733,0.434,0.552,1.362,-36.148,0.786,76.748,0.966,0.983,1,911,924.902,126.483,data_traditional
43,-118.405,33.683,2.993,0.467,0.591,1.749,-35.888,0.79,11.311,0.951,0.968,1,488,347.143,120.917,data_traditional
44,-2.649,26.371,3.399,0.418,0.735,1.995,-35.483,0.569,-89.399,0.945,0.955,1,780,611.796,129.057,data_traditional
45,1.154,10.228,3.031,0.399,0.674,1.997,-35.851,0.592,-84.874,0.92,0.971,1,606,601.951,129.173,data_traditional
46,-55.71,-7.068,3.146,0.453,0.592,2.21,-35.735,0.766,62.87,0.93,0.941,1,757,609.614,133.078,data_traditional
47,-74.175,-18.742,3.288,0.451,0.504,2.036,-35.593,0.896,54.386,0.919,0.943,1,494,545.698,131.157,data_traditional
48,-86.179,-36.722,19.197,0.417,0.529,1.277,-19.685,0.789,53.95,0.955,0.64,0,985,969.168,134.118,data_traditional
49,-160.829,-64.333,1.624,0.399,2.79,2.741,-37.258,0.143,36.653,0.916,0.773,0,242,117.864,113.487,data_traditional
50,-112.95,86.805,2.598,0.441,0.562,2.326,-36.284,0.785,-7.653,0.905,0.97,1,434,398.355,125.816,data_traditional
51,58.033,43.144,3.378,0.42,0.675,1.118,-35.503,0.623,-36.254,0.968,0.974,1,729,673.344,121.548,data_traditional
52,107.194,31.567,-0.073,0.763,0.93,4.822,-38.955,0.82,1.587,0.806,0.918,0,221,79.091,115.148,data_traditional
53,10.468,25.825,12.394,0.451,0.568,1.729,-26.488,0.793,-74.272,0.975,0.945,1,632,607.575,120.865,data_traditional
54,-41.583,26.083,2.535,0.544,0.836,3.702,-36.346,0.65,79.48,0.822,0.707,0,572,437.531,134.702,data_traditional
55,-63.917,10.997,3.861,0.425,0.558,1.91,-35.021,0.762,48.663,0.955,0.976,1,799,743.107,124.182,data_traditional
56,-133.932,-22.11,1.81,0.472,1.041,2.321,-37.072,0.454,34.675,0.851,0.743,0,200,133.211,113.133,data_traditional
57,101.027,-22.72,2.957,0.693,0.958,2.88,-35.925,0.723,-39.814,0.844,0.864,0,242,110.101,119.186,data_traditional
58,-44.716,-46.771,1.403,0.472,1.132,2.212,-37.478,0.417,-15.343,0.866,0.809,0,394,220.823,121.905,data_traditional
59,-28.412,-52.865,49.524,0.375,0.598,1.11,10.643,0.627,-88.203,0.99,0.979,1,1661,1910.851,128.682,data_traditional
60,62.089,-68.182,0.85,0.553,1.545,2.637,-38.031,0.358,34.022,0.853,0.832,0,223,88.893,123.945,data_traditional
61,-127.551,88.656,2.991,0.42,0.804,1.784,-35.891,0.522,-23.864,0.928,0.938,1,573,455.216,124.7,data_traditional
62,130.557,82.24,2.282,0.406,1.427,2.788,-36.6,0.284,6.317,0.95,0.88,1,275,174.059,115.418,data_traditional
63,-60.476,60.591,2.882,0.606,0.811,1.684,-36.0,0.747,-89.344,0.917,0.938,1,364,232.59,117.618,data_traditional
64,-88.22,32.78,61.19,0,0,1.078,22.309,0.0,0,0,0.982,0,1822,0,0,data_traditional
65,47.957,8.072,1.53,0.89,0.96,1.159,-37.352,0.927,-13.584,0.833,0.667,0,450,363.632,143.362,data_traditional
66,47.507,-7.405,1.83,1.708,2.479,1.56,-37.051,0.689,89.272,0.709,0.724,0,125,132.423,90.189,data_traditional
67,-49.5,-83.82,1.443,0,0,1.472,-37.439,0.0,0,0,0.831,0,214,0,0,data_traditional
68,-74.749,-95.178,1.308,0.524,1.861,2.944,-37.574,0.281,-14.81,0.855,0.824,0,181,86.964,121.222,data_traditional
69,91.3,68.132,2.001,0.672,1.901,1.022,-36.88,0.353,18.462,0.902,0.677,0,198,119.088,115.353,data_traditional
70,91.304,68.108,2.001,0.743,1.684,1.022,-36.88,0.441,17.377,0.785,0.677,0,198,111.313,120.681,data_traditional
71,-20.68,55.88,45.661,0,0,1.026,6.779,0.0,0,0,0.667,0,1571,0,0,data_traditional
72,-108.074,8.195,3.766,0.448,0.477,1.752,-35.115,0.938,53.659,0.963,0.951,1,556,542.963,123.176,data_traditional
73,-42.182,-6.868,3.753,0.39,0.698,1.818,-35.128,0.559,71.435,0.931,0.966,1,815,789.951,138.697,data_traditional
74,47.39,-7.506,1.83,1.119,1.887,1.56,-37.051,0.593,-86.589,0.796,0.724,0,166,115.288,115.941,data_traditional
75,6.613,-14.991,3.868,0.48,0.615,1.891,-35.014,0.78,-60.485,0.939,0.97,1,973,708.331,129.666,data_traditional
76,-133.931,-22.11,1.81,0.469,1.026,2.321,-37.072,0.457,34.636,0.85,0.743,0,206,133.616,113.641,data_traditional
77,120.825,-67.139,1.944,0.417,2.114,1.891,-36.938,0.197,-38.637,0.889,0.836,0,236,91.552,115.708,data_traditional
78,105.058,-75.325,1.638,0.4,3.068,1.921,-37.243,0.13,-44.66,0.888,0.858,0,196,111.456,116.978,data_traditional
79,7.04,-80.3,63.548,0,0,1.303,24.667,0.0,0,0,0.985,0,1764,0,0,data_traditional
80,127.266,-86.254,2.398,0.359,1.537,2.567,-36.483,0.234,-40.596,0.601,0.867,0,265,117.074,133.258,data_traditional
81,84.539,-93.276,1.375,0.521,1.958,1.97,-37.507,0.266,-51.135,0.906,0.856,0,251,135.572,115.044,data_traditional
82,106.411,75.138,3.732,0.399,0.97,2.296,-35.15,0.411,5.445,0.927,0.951,1,464,399.911,120.466,data_traditional
83,124.73,61.135,2.72,0.39,1.407,1.582,-36.161,0.277,-2.77,0.945,0.85,1,277,190.829,113.048,data_traditional
84,113.161,58.64,1.554,0.562,1.028,2.813,-37.328,0.547,-4.722,0.875,0.835,0,245,114.769,117.21,data_traditional
85,106.599,57.758,3.442,0.367,1.117,4.721,-35.44,0.329,0.859,0.93,0.75,0,416,368.534,130.005,data_traditional
86,125.19,31.995,2.855,0.389,1.609,2.493,-36.027,0.242,-15.266,0.914,0.836,1,216,142.856,111.079,data_traditional
87,-142.17,18.433,3.31,0.382,1.351,1.756,-35.571,0.282,12.158,0.95,0.959,0,331,259.851,116.075,data_traditional
88,121.276,-3.9,3.955,1.429,2.169,5.032,-34.926,0.659,-33.425,0.82,0.759,0,225,97.784,105.627,data_traditional
89,-29.584,-39.883,4.307,0.591,0.614,2.072,-34.575,0.963,-71.626,0.905,0.93,1,560,425.554,132.935,data_traditional
90,-103.984,-51.914,3.228,0.531,1.021,2.004,-35.653,0.52,54.808,0.942,0.953,1,439,284.346,122.154,data_traditional
91,83.821,-63.419,1.293,0.731,0.928,3.889,-37.588,0.788,-56.686,0.823,0.818,0,213,110.166,130.991,data_traditional
92,126.611,-84.746,2.55,0.477,1.604,1.735,-36.331,0.297,-42.685,0.885,0.792,0,211,111.925,117.541,data_traditional
93,-112.627,-86.672,4.663,0.591,1.929,2.776,-34.219,0.306,-30.151,0.861,0.857,0,214,101.084,121.704,data_traditional
94,-55.21,-92.256,48.179,0.371,0.613,1.082,9.297,0.604,85.729,0.995,0.97,1,1653,1752.018,122.312,data_traditional
95,56.98,-94.16,62.521,0,0,1.505,23.639,0.0,0,0,0.985,0,1128,0,0,data_traditional
96,95.677,93.139,4.029,0.42,1.078,2.225,-34.853,0.39,27.729,0.917,0.975,1,581,476.989,119.957,data_traditional
97,-134.356,28.361,3.703,0.437,0.802,2.194,-35.179,0.545,7.969,0.932,0.968,1,447,282.304,119.361,data_traditional
98,-42.46,25.74,2.535,0,0,3.702,-36.346,0.0,0,0,0.707,0,215,0,0,data_traditional
99,97.422,-26.474,3.076,0.407,1.493,2.054,-35.806,0.273,-35.481,0.941,0.928,1,296,192.637,116.88,data_traditional
100,-74.631,-45.558,3.406,0.524,0.626,1.737,-35.475,0.837,75.379,0.915,0.923,1,294,265.134,125.533,data_traditional
101,-37.917,-56.296,1.727,0.417,1.665,3.325,-37.155,0.25,-15.038,0.856,0.643,0,303,172.464,120.058,data_traditional
102,-98.581,-59.8,4.204,0.744,0.806,2.839,-34.678,0.924,28.41,0.904,0.964,1,544,355.751,136.719,data_traditional
103,142.191,-61.254,2.22,0.424,2.385,1.449,-36.661,0.178,-37.907,0.898,0.509,0,189,94.265,115.105,data_traditional
104,-98.063,-87.202,1.664,0.616,1.926,3.198,-37.217,0.32,-24.267,0.795,0.838,0,205,64.82,124.383,data_traditional
105,106.397,88.271,3.853,0.481,1.109,2.323,-35.028,0.433,16.154,0.896,0.939,0,435,291.478,118.649,data_traditional
106,21.534,84.634,4.134,0.41,0.767,1.394,-34.747,0.534,85.684,0.927,0.977,1,748,633.351,128.376,data_traditional
107,-128.273,75.391,3.671,0.405,0.722,2.028,-35.211,0.562,-17.598,0.928,0.962,1,401,280.617,118.961,data_traditional
108,-121.217,51.618,4.085,0.449,0.552,1.934,-34.797,0.813,-6.924,0.91,0.95,1,379,368.143,125.46,data_traditional
109,-67.238,12.615,4.199,0.446,0.64,1.725,-34.682,0.697,76.089,0.856,0.56,0,548,597.181,144.171,data_traditional
110,5.94,-81.84,2.053,0,0,2.049,-36.828,0.0,0,0,0.873,0,255,0,0,data_traditional
111,-149.114,75.888,2.534,0.475,0.938,2.552,-36.348,0.507,69.471,0.793,0.806,0,196,93.191,118.057,data_traditional
112,-83.76,-25.572,3.975,0.43,0.558,1.362,-34.907,0.771,63.916,0.929,0.965,1,558,574.15,129.945,data_traditional
113,41.541,-42.718,4.093,0.478,0.554,1.448,-34.789,0.864,78.337,0.937,0.986,1,734,580.445,127.624,data_traditional
114,-50.275,-57.854,27.539,0.472,0.545,1.432,-11.343,0.867,39.871,0.963,0.958,1,1015,1033.444,124.186,data_traditional
115,11.463,-77.249,5.004,0.431,1.759,2.026,-33.878,0.245,11.425,0.947,0.922,1,460,331.632,118.747,data_traditional
116,-131.869,-86.125,3.564,0.51,2.292,1.56,-35.318,0.222,50.686,0.897,0.613,0,200,115.947,115.243,data_traditional
117,89.711,-89.723,3.751,0.613,2.159,1.656,-35.13,0.284,-54.742,0.784,0.589,0,223,100.539,120.062,data_traditional
118,6.735,-96.549,4.59,0.607,1.912,3.384,-34.291,0.318,10.269,0.917,0.872,1,249,132.45,119.752,data_traditional
119,-3.209,81.524,4.42,0.416,1.08,1.411,-34.462,0.385,87.894,0.873,0.979,0,690,596.106,123.495,data_traditional
120,-144.285,65.927,4.351,0.666,0.699,2.736,-34.53,0.953,-64.999,0.893,0.834,0,249,116.989,112.385,data_traditional
121,141.547,58.579,2.955,0.379,1.828,2.439,-35.926,0.207,-6.137,0.899,0.769,0,209,102.059,115.494,data_traditional
122,149.896,58.33,3.404,0.379,1.615,1.805,-35.477,0.235,-4.857,0.939,0.861,1,241,141.627,115.804,data_traditional
123,-36.928,30.729,4.687,0.381,0.675,1.722,-34.195,0.564,74.986,0.924,0.957,1,812,718.599,135.267,data_traditional
124,95.695,-5.964,2.185,0.496,1.056,2.54,-36.697,0.47,65.614,0.846,0.817,0,241,80.547,120.057,data_traditional
125,-37.603,-37.846,4.501,0.392,0.602,1.487,-34.381,0.651,80.908,0.922,0.922,1,638,628.895,134.671,data_traditional
126,-30.58,-64.9,63.716,0,0,1.15,24.835,0.0,0,0,0.985,0,1784,0,0,data_traditional
127,72.656,-73.155,2.916,1.876,11.969,1.488,-35.966,0.157,83.116,0.54,0.695,0,114,-66.352,176.859,data_traditional
128,87.257,-77.359,3.373,0.439,1.537,2.448,-35.508,0.286,-52.114,0.876,0.848,0,256,123.498,120.268,data_traditional
129,5.94,-81.84,2.053,0,0,2.049,-36.828,0.0,0,0,0.873,0,255,0,0,data_traditional
130,-131.847,-86.07,2.99,0.42,2.346,1.575,-35.892,0.179,45.455,0.93,0.604,0,222,119.994,112.099,data_traditional
131,116.181,70.492,54.728,0.533,0.639,1.5,15.846,0.834,70.077,0.954,0.92,1,957,712.651,117.903,data_traditional
132,-10.36,59.956,4.937,0.426,0.845,1.718,-33.945,0.504,88.787,0.942,0.971,1,541,642.117,126.535,data_traditional
133,105.6,57.86,3.442,0,0,4.721,-35.44,0.0,0,0,0.75,0,217,0,0,data_traditional
134,-46.693,52.783,4.199,0.771,0.955,1.917,-34.683,0.807,-88.61,0.806,0.741,0,344,288.085,121.488,data_traditional
135,-0.118,23.192,6.949,0.786,1.048,5.958,-31.933,0.75,-75.944,0.754,0.905,0,364,348.517,142.808,data_traditional
136,38.528,3.13,5.273,0.469,0.591,1.693,-33.609,0.794,-53.315,0.955,0.946,1,699,508.047,122.35,data_traditional
137,-120.777,-20.263,4.338,0.491,1.077,2.036,-34.544,0.456,35.121,0.918,0.937,1,371,207.63,119.958,data_traditional
138,-101.082,-39.576,4.384,0.502,0.699,1.432,-34.497,0.718,56.801,0.948,0.94,1,393,371.923,121.92,data_traditional
139,-7.26,-65.56,46.002,0,0,1.321,7.121,0.0,0,0,0.99,0,1590,0,0,data_traditional
140,46.966,-69.001,4.858,0.599,0.981,2.07,-34.023,0.611,25.144,0.947,0.911,1,316,243.037,118.679,data_traditional
141,85.14,-93.94,-0.028,0,0,8.521,-38.91,0.0,0,0,0.852,0,222,0,0,data_traditional
142,-46.654,52.617,4.906,0.429,0.653,4.785,-33.976,0.658,77.881,0.935,0.706,0,604,684.507,130.99,data_traditional
143,46.241,41.09,5.677,0.55,0.608,1.893,-33.205,0.905,-16.963,0.962,0.937,1,848,683.552,119.607,data_traditional
144,-78.155,34.415,4.987,0.445,0.597,2.239,-33.894,0.745,31.477,0.885,0.969,0,439,460.92,129.301,data_traditional
145,11.046,-6.005,5.575,0.441,0.73,1.626,-33.307,0.605,-80.099,0.926,0.964,1,1157,985.647,138.287,data_traditional
146,96.043,-13.974,5.61,0.505,0.941,2.678,-33.271,0.537,71.805,0.889,0.767,0,225,122.059,119.442,data_traditional
147,101.032,-22.72,2.957,0.675,0.88,2.88,-35.925,0.767,-40.783,0.845,0.864,0,242,111.297,121.681,data_traditional
148,-42.293,-30.219,5.405,0.518,0.618,1.903,-33.477,0.838,59.331,0.931,0.933,1,910,651.692,133.802,data_traditional
149,160.111,-54.245,4.789,0.421,1.94,1.654,-34.093,0.217,-32.564,0.908,0.953,1,318,189.431,116.441,data_traditional
150,-50.6,-74.36,-0.111,0,0,0.264,-38.993,0.0,0,0,0,0,910,0,0,data_traditional
151,-132.05,-86.372,3.564,0.494,2.628,1.56,-35.318,0.188,52.877,0.893,0.613,0,245,122.847,115.239,data_traditional
152,56.98,-93.72,62.195,0,0,1.118,23.313,0.0,0,0,0.983,0,1577,0,0,data_traditional
153,6.813,-96.312,3.345,0.437,1.502,2.293,-35.536,0.291,-86.232,0.837,0.711,0,188,102.975,119.716,data_traditional
154,-10.368,59.965,4.612,0.54,1.034,4.49,-34.27,0.522,-87.58,0.911,0.681,0,516,468.985,124.758,data_traditional
155,-25.738,32.564,5.724,0.455,0.559,2.815,-33.158,0.814,-87.48,0.963,0.932,1,789,605.941,126.448,data_traditional
156,-0.12,23.194,6.949,0.752,1.041,5.958,-31.933,0.722,-77.172,0.755,0.905,0,364,344.751,149.693,data_traditional
157,-71.487,-9.032,6.086,0.434,0.532,2.085,-32.795,0.815,49.194,0.916,0.978,1,696,698.764,135.672,data_traditional
158,39.438,-29.353,4.75,0.423,0.627,1.313,-34.131,0.675,-68.543,0.926,0.98,1,657,554.41,128.107,data_traditional
159,-53.767,-32.416,5.423,0.445,0.572,1.576,-33.459,0.778,64.341,0.904,0.972,1,796,697.61,133.219,data_traditional
160,78.532,-54.246,4.762,0.4,1.267,1.857,-34.12,0.316,-45.723,0.949,0.962,1,381,329.825,124.712,data_traditional
161,162.36,-55.22,3.557,0,0,1.531,-35.324,0.0,0,0,0.753,0,178,0,0,data_traditional
162,-87.492,-63.085,5.38,0.585,0.765,1.165,-33.502,0.764,-33.156,0.913,0.938,1,431,333.516,130.461,data_traditional
163,61.232,-71.361,4.452,0.421,1.544,1.682,-34.429,0.273,-61.654,0.96,0.964,1,402,287.939,120.36,data_traditional
164,6.82,-96.579,4.59,0,0,3.384,-34.291,0.0,0,0,0.872,0,249,0,0,data_traditional
165,-8.717,87.308,5.369,0.432,0.991,1.212,-33.513,0.436,88.113,0.91,0.974,1,573,513.688,124.199,data_traditional
166,-129.658,81.092,4.944,0.398,0.874,2.293,-33.938,0.455,-18.91,0.941,0.931,1,373,265.603,117.842,data_traditional
167,-134.935,61.752,5.097,0.381,0.786,2.102,-33.784,0.484,-4.951,0.956,0.969,1,526,434.377,122.885,data_traditional
168,-39.813,58.471,6.31,0.421,0.485,1.475,-32.571,0.866,85.658,0.974,0.987,1,1290,1244.228,134.404,data_traditional
169,-118.312,41.272,4.806,0.413,0.48,1.509,-34.075,0.861,-1.217,0.969,0.936,1,422,363.878,120.44,data_traditional
170,49.324,39.328,5.64,0.403,0.479,1.77,-33.241,0.841,-42.93,0.97,0.972,1,945,860.262,123.979,data_traditional
171,-25.738,32.564,5.722,0.455,0.559,1.815,-33.159,0.814,-87.426,0.961,0.963,1,789,606.037,126.325,data_traditional
172,41.819,27.943,6.269,0.399,0.528,1.923,-32.613,0.756,-58.593,0.958,0.954,1,1299,1124.295,131.593,data_traditional
173,98.002,28.076,5.002,0.475,1.046,2.353,-33.88,0.454,-17.778,0.949,0.897,1,313,216.787,115.29,data_traditional
174,-160.937,-4.775,4.617,0.416,1.399,2.861,-34.265,0.298,19.499,0.898,0.855,0,260,134.802,116.902,data_traditional
175,-83.771,-25.627,4.18,0.424,0.519,2.933,-34.702,0.817,42.278,0.933,0.761,0,628,535.23,131.349,data_traditional
176,-47.396,-57.415,6.414,0.54,1.12,2.255,-32.467,0.482,-10.795,0.878,0.94,0,448,352.125,121.576,data_traditional
177,-117.293,-74.924,6.335,0.518,1.533,1.871,-32.547,0.338,-36.361,0.869,0.754,0,205,114.095,125.57,data_traditional
178,37.84,-82.28,49.148,0,0,1.009,10.266,0.0,0,0,0.986,0,860,0,0,data_traditional
179,89.685,-89.646,3.751,0.525,2.116,1.656,-35.13,0.248,-51.44,0.884,0.589,0,196,109.226,116.518,data_traditional
180,86.413,-92.819,-0.028,0.364,4.022,8.521,-38.91,0.09,0.0,0.882,0.852,0,0,46.292,115.086,data_traditional
181,84.851,-94.109,-0.028,0.363,2.529,8.521,-38.91,0.143,37.412,0.891,0.852,0,186,88.284,115.698,data_traditional
182,-20.481,82.825,26.623,0.122,7.929,1.178,-12.259,0.015,0.095,0.011,0.988,0,0,-233.167,145.479,data_traditional
183,127.028,82.557,4.916,0.384,1.289,2.293,-33.965,0.298,6.434,0.943,0.895,1,316,192.022,113.31,data_traditional
184,-47.52,52.36,4.199,0,0,1.917,-34.683,0.0,0,0,0.741,0,242,0,0,data_traditional
